canonical_name,display_name,record_count,qb_company_name,qb_customer_id,match_type
"structor group llc aka realty asset advisors southwest inc","Structor Group LLC (AKA Realty Asset Advisors Southwest Inc)","2","","","NONE"
"sachs electric will be getting bileld for this aka archkey solutions","(Sachs Electric will be getting bileld for this) (AKA Archkey Solutions)","2","Sachs Electric","Sachs Electric","STARTS_WITH"
"soilswork","Soilswork","2","","","NONE"
"gatos demolition","Gato's Demolition","2","Gato's Demolition","Gato's Demolition","EXACT"
"reigel construction aka rc c","Reigel Construction (AKA RC & C)","2","Reigel Construction","Reigel Construction","STARTS_WITH"
"findorfftreehouse","Findorff/Treehouse","2","","","NONE"
"rob headley","Rob Headley","2","Rob Headley","Headley Rob","EXACT"
"sonoran quest","Sonoran Quest","1","","","NONE"
"jeff clark homes","Jeff Clark Homes","1","","","NONE"
"pmd","PMD Development","1","","","NONE"
"evolution","Evolution Construction","1","","","NONE"
"marino lombardi","Marino Lombardi","1","","","NONE"
"thunder road motorcycles","Thunder Road Motorcycles","1","","","NONE"
"dk painting","DK Painting","1","","","NONE"
"rh dupper","RH Dupper","1","","","NONE"
"the haskell","The Haskell Company","1","","","NONE"
"hamblin david",""Hamblin","1","","","NONE"
"shea homes","Shea Homes","1","","","NONE"
"apodaca wall systems","Apodaca Wall Systems","1","","","NONE"
"dluzan scott",""Dluzan","1","","","NONE"
"emjljl","EMJ/LJL","1","","","NONE"
"beck consulting","Beck Consulting","1","","","NONE"
"az painting and consulting","AZ Painting and Consulting","1","","","NONE"
"manderson","M.Anderson","1","","","NONE"
"mike miguire","Mike Miguire","1","","","NONE"
"kbe","KBE","1","KBE Building Corporation","KBE Building Corporation","STARTS_WITH"
"the construction professional","The Construction Professional","1","","","NONE"
"schnitzer","Schnitzer","1","Schnitzer Properties","Schnitzer Properties","STARTS_WITH"
"mckenzies midtown tavern","McKenzies Midtown tavern","1","","","NONE"
"perry kelvin",""Perry","1","","","NONE"
"arcbuilt","Arcbuilt","1","","","NONE"
"reninhausen","Reninhausen","1","","","NONE"
"lantern","Lantern Group","1","Lantern Group Contracting","Lantern Group Contracting","STARTS_WITH"
"joe knight","Joe Knight","1","","","NONE"
"western states","Western States","1","","","NONE"
"hoilal tom",""Hoilal","1","","","NONE"
"verde","Verde Builders","1","","","NONE"
"joshua fretwell","Joshua Fretwell","1","","","NONE"
"kore medical","Kore Medical","1","Kore Medical","Kor Medical","EXACT"
"first step demolition","First Step Demolition","1","","","NONE"
"cr commercial","CR Commercial","1","","","NONE"
"arcomurray","Arco/Murray","1","Arco/Murray","Arco/Murray:Prime Data Center - Tolleson","EXACT"
"6k companies","6K Companies","1","6K Companies","6K Companies","EXACT"
"aps","APS","1","APS","APS- AZ Public Service","EXACT"
"brydant","Brydant","1","Brydant Real Estate","Brydant Real Estate","STARTS_WITH"
"schofield civil","Schofield Civil","1","Schofield Civil Construction","Schofield Civil Construction","STARTS_WITH"
"vellagio homes","Vellagio Homes","1","","","NONE"
"klassen","Klassen","1","","","NONE"
"dooleymack","Dooleymack","1","","","NONE"
"void","Void","1","","","NONE"
"vkw","VKW","1","VKW Construction","VKW Constuction","STARTS_WITH"
"arco national","Arco National Construction","1","","","NONE"
"david","David","1","David Weekley Homes","David Weekley Homes:Artesa at Soleo - San Tan Valley","STARTS_WITH"
"1st farmer","1st & Farmer","1","","","NONE"
"bates ken",""Bates","1","","","NONE"
"lefc","LEFC Corp","1","","","NONE"
"casa blanca","Casa Blanca Builders","1","Casa Blanca Builders","Casa Blanca Builders","EXACT"
"camelback owners",""Camelback Owners","1","","","NONE"
"ac renovations","A&C Renovations","1","","","NONE"
"re spurr","R.E. Spurr","1","R.E. Spurr Construction Co","R.E. Spurr Construction Co","STARTS_WITH"
"local undergound","Local Undergound Construction","1","","","NONE"
"11 residential","11 Residential","1","","","NONE"
"id electric","ID Electric","1","","","NONE"
"ae","A&E Builders","1","","","NONE"
"sub4","Sub4","1","","","NONE"
"luxelocker","Luxelocker","1","Luxelocker","Luxelocker","EXACT"
"rr","R&R Construction","1","","","NONE"
"kiewit","Kiewit","1","","","NONE"
"george h pastor sons","George H Pastor & Sons","1","George H Pastor & Sons","George H Pastor & Sons","EXACT"
"identity","Identity Builders","1","Identity Builders","Identity Builders","EXACT"
"verde fiesta","Verde Fiesta","1","","","NONE"
"cherokee","Cherokee","1","Cherokee CRC LLC","Cherokee CRC LLC","STARTS_WITH"
"colorado west","Colorado West","1","","","NONE"
"pr","PR Construction","1","PR Construction","PR Construction","EXACT"
"vip commercial","VIP Commercial","1","VIP Commercial Builders","VIP Commercial Builders","STARTS_WITH"
"e1","E1 Development Services","1","","","NONE"
"baker","Baker Construction","1","","","NONE"
"gioffre","Gioffre Construction","1","Gioffre Construction","Gioffre Construction","EXACT"
"lone mountain excavating","Lone Mountain Excavating","1","Lone Mountain Excavating","Lone Mountain Excavating","EXACT"
"jacobs","Jacobs","1","Jacobs","Jacobs","EXACT"
"drp","DRP","1","","","NONE"
"imperial underground solutions","Imperial Underground Solutions","1","","","NONE"
"steven leinweber","Steven Leinweber Construction","1","","","NONE"
"steel spark","Steel & Spark","1","","","NONE"
"community developement","Community Developement","1","","","NONE"
"bell buildinig","Bell Buildinig Group","1","","","NONE"
"menlo equities","Menlo Equities","1","","","NONE"
"wolff constuction","Wolff Constuction","1","","","NONE"
"path contruction","Path Contruction","1","","","NONE"
"z modular","Z Modular","1","","","NONE"
"embree groupus bank- scottsdale","Embree Group:US Bank- Scottsdale","1","Embree Group","Embree Group","STARTS_WITH"
"emj corporationchandler apts","EMJ Corporation:Chandler Apts","1","","","NONE"
"george h pastor sonswhataburger- avondale","George H Pastor & Sons:Whataburger- Avondale","1","George H Pastor & Sons","George H Pastor & Sons","STARTS_WITH"
"jlb partners44th 202 project","JLB Partners:44th & 202 Project","1","","","NONE"
"lge design buildgenesis of chandler","LGE Design Build:Genesis Of Chandler","1","LGE Design Build","LGE Design Build:7501 E Redfield Road","STARTS_WITH"
"maydall constructionsrpmic- ecec","Maydall Construction:SRPMIC- ECEC","1","Maydall Construction","Maydall Construction","STARTS_WITH"
"wespac constructioncarvana corporate campus","Wespac Construction:Carvana Corporate Campus","1","Wespac Construction","Wespac Construction:Mayo Casita #4- Labor & Fees","STARTS_WITH"
"willmeng construction inccotton lane commerce park",""Willmeng Construction","1","","","NONE"
"willmeng construction incdeer valley business center",""Willmeng Construction","1","","","NONE"
"willmeng construction incsun valley academy- glendale",""Willmeng Construction","1","","","NONE"
"3411 buildersatlas kierland","3411 Builders:Atlas Kierland","1","","","NONE"
"a finer touch construction carder residence","A Finer Touch Construction: Carder Residence","1","A Finer Touch Construction","A Finer Touch Construction","STARTS_WITH"
"ar mays constructionmountainside fitness avondale","A.R Mays Construction:Mountainside Fitness Avondale","1","A.R Mays Construction","A.R. Mays Construction:Ak-chin Wellness Center (Construction)","STARTS_WITH"
"claycoqts phx2 dc5","Clayco:QTS PHX2 DC5","1","Clayco","Clayco:Cubes at Meridian 24","STARTS_WITH"
"emj corporationavondale station","EMJ Corporation:Avondale Station","1","","","NONE"
"lam building","Lam Building","1","Lam Building","Lam Building","EXACT"
"pegasus construction incvalvoline glendale",""Pegasus Construction","1","","","NONE"
"low mountain constructiontempe bike and pedestrian path","Low Mountain Construction:Tempe Bike and Pedestrian Path","1","Low Mountain Construction","Low Mountain Construction","STARTS_WITH"
"maydall constructionlonely cactus","Maydall Construction:Lonely Cactus","1","Maydall Construction","Maydall Construction","STARTS_WITH"
"midwestern university19555 n 59th ave","Midwestern University:19555 N 59th Ave","1","Midwestern University","Midwestern University","STARTS_WITH"
"nitti builderstsmc supplier site c",""Nitti Builders:TSMC Supplier Site ""C"""","1","","","NONE"
"pwi residential inc21-r02- hillside residence","PWI Residential Inc.:#21-R02- Hillside Residence","1","PWI Residential Inc.","PWI Residential Inc.:#21-R02- Hillside Residence","STARTS_WITH"
"renaissance companiesbip infrastructure","Renaissance Companies:BIP Infrastructure","1","Renaissance Companies","Renaissance Companies:32nd St. and Baseline Shops","STARTS_WITH"
"renaissance companiestoy barn scottsdale ii","Renaissance Companies:Toy Barn Scottsdale II","1","Renaissance Companies","Renaissance Companies:32nd St. and Baseline Shops","STARTS_WITH"
"torrent resourceslucid motors","Torrent Resources:Lucid Motors","1","Torrent Resources","Torrent Resources","STARTS_WITH"
"us development construction inc4858 w maryland ave glendale",""US Development & Construction INC:4858 W Maryland Ave","1","","","NONE"
"weitz coraintree drive residential","Weitz Co:Raintree Drive Residential","1","","","NONE"
"willmeng construction incadot regional basin",""Willmeng Construction","1","","","NONE"
"willmeng construction incsundance park ph2",""Willmeng Construction","1","","","NONE"
"wood partnersalta goodyear","Wood Partners:Alta Goodyear","1","Wood Partners","Wood Partners:Alta Goodyear","STARTS_WITH"
"stucco renovations","Stucco Renovations","1","Stucco Renovations of Arizona","Stucco Renovations of Arizona","STARTS_WITH"
"forstie david","Forstie David","1","","","NONE"
"ar mayes","A.R. Mayes","1","","","NONE"
"airpark signs graphics","Airpark Signs & Graphics","1","","","NONE"
"ruckman tim",""Ruckman","1","","","NONE"
"mt builders mckinley court","MT Builders; McKinley Court","1","","","NONE"
"ogc construction management","OGC Construction Management","1","","","NONE"
"united rental","United Rental","1","United Rental","United Rental","EXACT"
"phoenix rising soccer complex","Phoenix Rising Soccer Complex","1","","","NONE"
"weitz beatitudes patio homes","Weitz;  Beatitudes Patio Homes","1","","","NONE"
"rytan llc alhambra- gymnasium addition",""Rytan","1","","","NONE"
"ryan companies us inc17 north - farmers way",""Ryan Companies US","1","","","NONE"
"sigma homes 2237 mercer lane","Sigma Homes; 2237 Mercer Lane","1","","","NONE"
"park7","Park7","1","","","NONE"
"ar mayes fat cats","AR Mayes: Fat Cats","1","","","NONE"
"ashley duffy 5321 s four peaks way","Ashley Duffy: 5321 S Four Peaks Way","1","","","NONE"
"renaisance","Renaisance","1","","","NONE"
"concorde","Concorde","1","","","NONE"
"ar mays mirabel","AR Mays Mirabel","1","","","NONE"
"dpr- mayo hardscape","DPR- Mayo Hardscape","1","","","NONE"
"embrey- beardsley","Embrey- Beardsley","1","","","NONE"
"acadia healthcare","Acadia Healthcare","1","","","NONE"
"vollkommen","Vollkommen","1","","","NONE"
"mt inspira mesa gateway","MT: InspIra Mesa Gateway","1","","","NONE"
"ar mays mountain vista","AR Mays: Mountain Vista","1","","","NONE"
"turner optum rx","Turner Optum RX","1","","","NONE"
"ecco heavy equipment rental","ECCO Heavy Equipment Rental","1","","","NONE"
"curve south mtn","Curve South Mtn","1","","","NONE"
"curve estrella","Curve Estrella","1","","","NONE"
"ar mays mountainside","AR Mays Mountainside","1","","","NONE"
"emj chandler apts","EMJ Chandler Apts","1","","","NONE"
"emj avondale station","EMJ Avondale Station","1","","","NONE"
"3411 atlas","3411: Atlas","1","","","NONE"
"big d construction sw","Big D Construction SW","1","","","NONE"
"arizona specialty demo","Arizona Specialty Demo","1","Arizona Specialty Demolition LLC","Arizona Specialty Demolition LLC","STARTS_WITH"
"bjerk builders incsaddle creek ti",""Bjerk Builders","1","","","NONE"
"mt alexan","MT : ALEXAN","1","","","NONE"
"mcshane construction companylcg kierland","McShane Construction Company:LCG Kierland","1","McShane Construction Company","McShane Construction Company:Apartments at 48th Street & Washington","STARTS_WITH"
"ryan companies us inckroger flaming bird fc-09",""Ryan Companies US","1","","","NONE"
"thompson thrift construction incaz buckeye yuma rd",""Thompson Thrift Construction","thompson thrift construction incaz buckeye yuma rd","","","NONE"
"willmeng kentwood casa grande","WILLMENG: Kentwood Casa Grande","1","","","NONE"
"layton construction companylakin industrial park ph4","Layton Construction Company:Lakin Industrial Park Ph.4","1","Layton Construction Company","Layton Construction Company:Cavasson MOB & Retail","STARTS_WITH"
"clune construction we are also doing work for menlo on this job charge the signs to clune",""Clune Construction (WE ARE ALSO DOING WORK FOR MENLO ON THIS JOB","1","Clune Construction","Clune Construction","STARTS_WITH"
"innovative technology",""Innovative Technology Development Group","1","","","NONE"
"cws painting","CWS Painting","1","CWS Paint","CWS Paint","STARTS_WITH"
"better buzz coffee- queen creek","Better Buzz Coffee- Queen Creek","1","","","NONE"
"belaflor","Belaflor","1","","","NONE"
"briston","Briston","1","","","NONE"
"ma carlson","M.A. Carlson","1","","","NONE"
"sarto pools","Sarto Pools","1","Sarto Pools","Sarto Pools","EXACT"
"tennan","Tennan Construction","1","","","NONE"
"howard wright","Howard Wright","1","","","NONE"
"vector","Vector","1","","","NONE"
"bc studio","BC Studio","1","","","NONE"
"hayward","Hayward Builders","1","","","NONE"
"calgon carbon","Calgon Carbon","1","","","NONE"
"okanogan trail","Okanogan Trail Construction","1","","","NONE"
"mj manone","MJ Manone","1","","","NONE"
"aw","AW Contracting","1","AW Contracting","AW Contracting","EXACT"
"roche","Roche Construction","1","","","NONE"
"cavalia","Cavalia","1","","","NONE"
"spencer manzano","Spencer Manzano","1","","","NONE"
"straightline","Straightline Builders","1","","","NONE"
"septon","Septon Development","1","","","NONE"
